Date,Open,High,Low,Close,Adj Close,Volume
29-05-19,11905.79981,11931.90039,11836.79981,11861.09961,11861.09961,318100
30-05-19,11865.29981,11968.54981,11859.40039,11945.90039,11945.90039,421200
31-05-19,11999.79981,12039.25,11829.4502,11922.79981,11922.79981,438900
03-06-19,11953.75,12103.04981,11920.09961,12088.54981,12088.54981,315300
04-06-19,12052.65039,12095.2002,12005.84961,12021.65039,12021.65039,289200
06-06-19,12039.79981,12039.79981,11830.25,11843.75,11843.75,415200
07-06-19,11865.2002,11897.5,11769.5,11870.65039,11870.65039,302500
10-06-19,11934.90039,11975.04981,11871.75,11922.7002,11922.7002,303300
11-06-19,11959.84961,12000.34961,11904.34961,11965.59961,11965.59961,332200
12-06-19,11962.4502,11962.4502,11866.34961,11906.2002,11906.2002,283700
13-06-19,11873.90039,11931.34961,11817.04981,11914.04981,11914.04981,447900
14-06-19,11910.09961,11911.84961,11797.7002,11823.29981,11823.29981,390300
17-06-19,11844,11844.04981,11657.75,11672.15039,11672.15039,295500
18-06-19,11677.04981,11727.2002,11641.15039,11691.5,11691.5,365500
19-06-19,11744.4502,11802.5,11625.09961,11691.4502,11691.4502,446900
20-06-19,11653.65039,11843.5,11635.04981,11831.75,11831.75,442000
21-06-19,11827.59961,11827.9502,11705.09961,11724.09961,11724.09961,468400
24-06-19,11725.79981,11754,11670.2002,11699.65039,11699.65039,277600
25-06-19,11681,11814.40039,11651,11796.4502,11796.4502,300500
26-06-19,11768.15039,11871.84961,11757.54981,11847.54981,11847.54981,327900
27-06-19,11860.84961,11911.15039,11821.04981,11841.54981,11841.54981,480200
28-06-19,11861.15039,11871.7002,11775.5,11788.84961,11788.84961,303900
01-07-19,11839.90039,11884.65039,11830.79981,11865.59961,11865.59961,278400
02-07-19,11890.29981,11917.4502,11814.7002,11910.29981,11910.29981,363200
03-07-19,11932.15039,11945.2002,11887.04981,11916.75,11916.75,340500
04-07-19,11928.79981,11969.25,11923.65039,11946.75,11946.75,333600
05-07-19,11964.75,11981.75,11797.90039,11811.15039,11811.15039,530700
08-07-19,11770.40039,11771.90039,11523.29981,11558.59961,11558.59961,464000
09-07-19,11531.59961,11582.54981,11461,11555.90039,11555.90039,442500
10-07-19,11536.15039,11593.7002,11475.65039,11498.90039,11498.90039,337600
11-07-19,11561.4502,11599,11519.5,11582.90039,11582.90039,317300
12-07-19,11601.15039,11639.54981,11538.59961,11552.5,11552.5,359400
15-07-19,11614.75,11618.40039,11532.29981,11588.34961,11588.34961,368800
16-07-19,11596.65039,11670.04981,11573.9502,11662.59961,11662.59961,480200
17-07-19,11670.75,11706.65039,11651.15039,11687.5,11687.5,464800
18-07-19,11675.59961,11677.15039,11582.40039,11596.90039,11596.90039,498300
19-07-19,11627.9502,11640.34961,11399.29981,11419.25,11419.25,446000
22-07-19,11392.84961,11398.15039,11301.25,11346.2002,11346.2002,516000
23-07-19,11372.25,11398.09961,11303.15039,11331.04981,11331.04981,500
24-07-19,11322.4502,11359.25,11230.2002,11271.29981,11271.29981,400800
25-07-19,11290.40039,11361.40039,11239.34961,11252.15039,11252.15039,537100
26-07-19,11247.4502,11307.34961,11210.59961,11284.29981,11284.29981,507000
29-07-19,11307.5,11307.5,11152.75,11189.2002,11189.2002,468400
30-07-19,11213.7002,11267.09961,11072.9502,11085.40039,11085.40039,464700
31-07-19,11034.04981,11144.15039,10999.65039,11118,11118,520600
01-08-19,11060.2002,11076.75,10881,10980,10980,484900
02-08-19,10930.29981,11079.79981,10849.54981,10997.34961,10997.34961,531000
05-08-19,10895.79981,10895.79981,10782.59961,10862.59961,10862.59961,491400
06-08-19,10815.40039,11018,10815.40039,10948.25,10948.25,502400
07-08-19,10958.09961,10975.65039,10835.90039,10855.5,10855.5,532000
08-08-19,10899.2002,11057.65039,10843.25,11032.4502,11032.4502,468000
09-08-19,11087.90039,11181.29981,11063.15039,11109.65039,11109.65039,522000
13-08-19,11139.40039,11145.90039,10901.59961,10925.84961,10925.84961,600
14-08-19,11003.25,11077.34961,10935.84961,11029.40039,11029.40039,500
16-08-19,11043.65039,11068.54981,10924.29981,11047.79981,11047.79981,500
19-08-19,11094.79981,11146.90039,11037.84961,11053.90039,11053.90039,400
20-08-19,11047.65039,11049.84961,10986.7002,11017,11017,400
21-08-19,11018.15039,11034.2002,10906.65039,10918.7002,10918.7002,600
22-08-19,10905.29981,10908.25,10718.29981,10741.34961,10741.34961,700
23-08-19,10699.59961,10862.54981,10637.15039,10829.34961,10829.34961,700
26-08-19,11000.29981,11070.29981,10756.54981,11057.84961,11057.84961,700
27-08-19,11106.54981,11141.75,11049.5,11105.34961,11105.34961,700
28-08-19,11101.29981,11129.65039,10987.65039,11046.09961,11046.09961,500
29-08-19,10996.04981,11021.09961,10922.40039,10948.29981,10948.29981,600
30-08-19,10987.79981,11042.59961,10874.79981,11023.25,11023.25,600
03-09-19,10960.9502,10967.5,10772.7002,10797.90039,10797.90039,0
04-09-19,10790.40039,10858.75,10746.34961,10844.65039,10844.65039,500
05-09-19,10860.9502,10920.09961,10816,10847.90039,10847.90039,600
06-09-19,10883.79981,10957.04981,10867.4502,10946.2002,10946.2002,500
09-09-19,10936.7002,11028.84961,10889.79981,11003.04981,11003.04981,400
11-09-19,11028.5,11054.79981,11011.65039,11035.7002,11035.7002,700
12-09-19,11058.29981,11081.75,10964.9502,10982.79981,10982.79981,600
13-09-19,10986.79981,11084.4502,10945.75,11075.90039,11075.90039,600
16-09-19,10994.84961,11052.7002,10968.2002,11003.5,11003.5,400
17-09-19,11000.09961,11000.09961,10796.5,10817.59961,10817.59961,500
18-09-19,10872.79981,10885.15039,10804.84961,10840.65039,10840.65039,500
19-09-19,10845.2002,10845.2002,10670.25,10704.79981,10704.79981,600
20-09-19,10746.79981,11381.90039,10691,11274.2002,11274.2002,1400
23-09-19,11542.7002,11694.84961,11471.34961,11600.2002,11600.2002,900
24-09-19,11590.7002,11655.04981,11539.2002,11588.2002,11588.2002,700
25-09-19,11564.84961,11564.9502,11416.09961,11440.2002,11440.2002,600
26-09-19,11469.84961,11610.84961,11466.34961,11571.2002,11571.2002,800
27-09-19,11556.34961,11593.59961,11499.75,11512.40039,11512.40039,700
30-09-19,11491.15039,11508.25,11390.79981,11474.4502,11474.4502,800
01-10-19,11515.40039,11554.2002,11247.90039,11359.90039,11359.90039,1300
03-10-19,11322.25,11370.40039,11257.34961,11314,11314,1000
04-10-19,11388.4502,11400.29981,11158.34961,11174.75,11174.75,900
07-10-19,11196.2002,11233.84961,11112.65039,11126.40039,11126.40039,700
09-10-19,11152.9502,11321.59961,11090.15039,11313.29981,11313.29981,700
10-10-19,11280.5,11293.34961,11208.54981,11234.54981,11234.54981,600
11-10-19,11257.7002,11362.90039,11189.40039,11305.04981,11305.04981,700
14-10-19,11335.90039,11420.4502,11290.04981,11341.15039,11341.15039,600
15-10-19,11360.84961,11462.34961,11342.09961,11428.29981,11428.29981,500
16-10-19,11464.9502,11481.04981,11411.09961,11464,11464,500
17-10-19,11466.29981,11599.09961,11439.65039,11586.34961,11586.34961,800
18-10-19,11580.29981,11684.7002,11553.15039,11661.84961,11661.84961,900
22-10-19,11657.15039,11714.34961,11573.65039,11588.34961,11588.34961,900
23-10-19,11596.2002,11651.59961,11554.40039,11604.09961,11604.09961,664200
24-10-19,11661.65039,11679.59961,11534.65039,11582.59961,11582.59961,700500
25-10-19,11646.15039,11646.90039,11490.75,11583.90039,11583.90039,812000
27-10-19,null,null,null,null,null,null
29-10-19,11643.9502,11809.40039,11627.34961,11786.84961,11786.84961,951700
30-10-19,11883.90039,11883.9502,11784.4502,11844.09961,11844.09961,725200
31-10-19,11890.4502,11945,11855.09961,11877.4502,11877.4502,1414800
01-11-19,11886.59961,11918.29981,11843.34961,11890.59961,11890.59961,855300
04-11-19,11928.90039,11989.15039,11905.34961,11941.29981,11941.29981,823100
05-11-19,11974.59961,11978.9502,11861.90039,11917.2002,11917.2002,632000
06-11-19,11911.5,12002.90039,11850.25,11966.04981,11966.04981,603400
07-11-19,12021.09961,12021.40039,11946.84961,12012.04981,12012.04981,563000
08-11-19,11987.15039,12034.15039,11888.75,11908.15039,11908.15039,789300
11-11-19,11879.2002,11932.65039,11853.9502,11913.4502,11913.4502,549000
13-11-19,11908.29981,11946.79981,11823.2002,11840.4502,11840.4502,659000
14-11-19,11858.75,11895.65039,11802.65039,11872.09961,11872.09961,559500
